0,45,0,0
52,45,0.054,0.18
105,45,0.054,0.46
159,45,0.048,0.73
212,45,0.054,1
266,45,0.048,1.24
320,45,0.057,1.5
373,45,0.045,1.77
428,45,0.0475,2.04
481,45,0.06,2.34
534,45,0.063,2.66
588,45,0.054,2.95
642,45,0.0375,3.2
696,45,0.051,3.44
749,45,0.054,3.71
802,45,0.054,4
857,45,0.0375,4.24
910,45,0.051,4.47
964,45,0.045,4.73
1017,45,0.051,5
1071,45,0.045,5.27
1125,45,0.054,5.56
1178,45,0.063,5.85
1232,45,0.054,6.17
1286,45,0.06,6.47
1340,45,0.057,6.78
1393,45,0.057,7.04
1447,45,0.045,7.33
1501,45,0.063,7.64
1554,45,0.042,7.9
1608,45,0.042,8.13
1661,45,0.048,8.37
1716,45,0.066,8.66
1769,45,0.051,8.96
1823,45,0.06,9.26
1876,45,0.069,9.59
1931,45,0.0475,9.9
1984,45,0.048,10.18
2037,45,0.045,10.42
2092,45,0.045,10.67
2145,45,0.066,10.96
2199,45,0.057,11.28
2252,45,0.057,11.59
2307,45,0.03,11.81
